NAME_TAG,AREA,LATITUDE,LONGITUDE
Londonderry,2121232285,54.92931884,-6.846981784
Carlow,896462022.9,52.7294827,-6.823151275
Kilkenny,2071370535,52.57423702,-7.233304073
Wexford,2376417269,52.45952564,-6.571347689
Cavan,1931761826,53.99488331,-7.352364478
Waterford,1861829779,52.1733576,-7.596589886
Antrim,3095245777,54.87024572,-6.202138414
Armagh,1325800958,54.29844884,-6.551536832
Dublin,929005084.1,53.39222066,-6.28397647
Limerick,2755334783,52.49583099,-8.749688093
Meath,2342296566,53.63152933,-6.731966043
Tyrone,3265221191,54.61135195,-7.160031408
Kerry,4806978581,52.11944863,-9.72211499
Offaly,2001056797,53.2078748,-7.600229071
Roscommon,2548129288,53.72366649,-8.246461327
Donegal,4858511132,54.92275269,-7.905020792
Longford,1091585844,53.71260166,-7.725088698
Westmeath,1838721036,53.52860382,-7.44317569
Cork,7504117165,51.91689068,-8.835028848
Laois,1719317414,52.98366595,-7.355838597
Sligo,1836167796,54.15746508,-8.623519808
Mayo,5597414187,53.92429635,-9.385331504
Galway,6169518208,53.36275045,-8.953583912
Louth,826386874.9,53.90959109,-6.414064978
Monaghan,1294481220,54.15519099,-6.923464858
Leitrim,1588511836,54.13999168,-8.022645285
Down,2498137876,54.36238898,-5.940351113
Fermanagh,1850844479,54.35014568,-7.641225682
Tipperary,4305175854,52.64330921,-7.957961879
Clare,3449512819,52.8405067,-9.042705198
Wicklow,2023696639,52.9788752,-6.372727744
Kildare,1694365254,53.19061265,-6.818534913
